notice_id_a,notice_id_b,label,exact,estimate,abs_error
N000702,N007932,different,0.1417004048582996,0.171875,0.0301745951417004
N009387,N009517,different,0.30424799081515497,0.34765625,0.04340825918484503
N000358,N007166,different,0.2888086642599278,0.3125,0.023691335740072206
N007841,N011872,different,0.1382716049382716,0.125,0.013271604938271592
N000576,N000577,same,0.21107266435986158,0.23046875,0.019396085640138422
N003372,N008041,different,0.2938689217758985,0.29296875,0.0009001717758985173
N006470,N009323,different,0.4443368828654405,0.484375,0.040038117134559514
N001685,N001686,same,0.6446927374301676,0.62890625,0.01578648743016764
N002358,N005690,different,0.32075471698113206,0.31640625,0.00434846698113206
N002216,N002218,same,0.9071146245059288,0.9140625,0.006947875494071165
N003837,N007101,different,0.3956692913385827,0.3984375,0.002768208661417304
N008995,N010419,different,0.2992874109263658,0.3125,0.013212589073634207
N001394,N003813,different,0.18781725888324874,0.19140625,0.003588991116751261
N003816,N009648,different,0.4670391061452514,0.4296875,0.037351606145251404
N000883,N003126,different,0.14313725490196078,0.14453125,0.0013939950980392246
N010748,N011807,different,0.27710843373493976,0.32421875,0.04711031626506024
N006050,N007874,different,0.19877675840978593,0.203125,0.004348241590214075
N011687,N011688,same,0.9879275653923542,0.9921875,0.004259934607645843
N000036,N011140,different,0.2361308677098151,0.28515625,0.04902538229018491
N000051,N000052,same,0.9675174013921114,0.96484375,0.002673651392111398
N001105,N007889,different,0.12075471698113208,0.12890625,0.008151533018867924
N004491,N004492,same,0.5421836228287841,0.515625,0.026558622828784073
N004978,N009682,different,0.21212121212121213,0.24609375,0.03397253787878787
N008379,N008380,same,0.8962432915921288,0.91796875,0.021725458407871212
N001189,N011628,different,0.18451749734888653,0.23046875,0.04595125265111347
N000183,N001889,different,0.5416666666666666,0.578125,0.03645833333333337
N006225,N006227,same,0.24010217113665389,0.234375,0.005727171136653886
N002447,N007313,different,0.24464831804281345,0.2734375,0.02878918195718655
N005321,N005322,same,0.9391891891891891,0.93359375,0.005595439189189144
N004563,N004564,same,0.4194871794871795,0.47265625,0.05316907051282049
N001497,N001498,same,0.48934010152284263,0.546875,0.05753489847715737
N002729,N008105,different,0.32590855803048063,0.36328125,0.03737269196951937
N000314,N008220,different,0.23943661971830985,0.25,0.010563380281690155
N001902,N009227,different,0.45646067415730335,0.4375,0.018960674157303348
N001376,N009439,different,0.4104938271604938,0.38671875,0.023775077160493818
N003019,N009498,different,0.2054380664652568,0.2578125,0.05237443353474319
N003883,N004988,different,0.18459069020866772,0.1953125,0.010721809791332276
N004822,N007764,different,0.25903614457831325,0.26953125,0.010495105421686746
N000255,N007615,different,0.3538306451612903,0.328125,0.025705645161290314
N005676,N011302,different,0.2699300699300699,0.2734375,0.0035074300699300953
N003403,N007889,different,0.15956482320942883,0.16796875,0.00840392679057117
N002476,N005891,different,0.16461916461916462,0.19921875,0.03459958538083538
N004988,N009224,different,0.20906994619523445,0.25,0.040930053804765554
